Study_Hours_Per_Day,Attendance_Percent,Assignment_Score,Previous_Score,Sleep_Hours,Internet_Access,Final_Score
6.5,70.7,90.0,55.1,8.5,Average,75.3
5.2,90.3,100.0,49.1,8.0,Average,79.4
6.8,100.0,59.8,54.3,7.1,Good,73.5
8.5,91.3,85.3,82.8,6.3,Good,77.6
5.0,68.3,69.5,54.7,7.8,Good,64.0
5.0,77.6,71.7,100.0,7.4,Average,67.9
8.7,93.4,70.3,74.9,8.0,Poor,80.1
7.0,75.6,66.8,70.6,7.7,Average,74.5
4.6,86.0,78.6,56.0,8.2,Average,73.8
6.6,89.0,67.2,77.8,6.4,Average,73.7
4.6,73.7,81.5,59.9,8.4,Good,67.5
4.6,81.5,77.3,69.7,7.2,Good,75.8
6.0,55.0,74.9,100.0,9.3,Average,72.2
1.7,72.8,66.2,66.7,6.2,Poor,65.8
2.1,79.7,70.5,84.1,8.9,Good,64.7
4.4,70.8,87.8,58.2,7.2,Average,55.6
3.5,96.7,84.5,67.5,6.3,Good,71.8
6.1,69.1,65.3,92.8,6.5,Good,71.0
3.7,78.0,79.3,59.2,6.6,Good,68.4
2.7,83.2,87.8,93.4,7.5,Good,71.3
8.4,95.0,56.3,77.9,7.6,Average,78.8
5.0,69.1,85.1,60.1,6.4,Good,58.6
5.6,92.5,69.4,76.9,7.0,Average,71.3
2.7,82.1,85.4,81.6,9.4,Average,63.1
4.4,73.2,68.1,76.7,8.9,Poor,62.6
5.7,86.2,54.5,46.0,7.5,Good,66.9
3.2,83.8,56.8,57.8,7.0,Good,65.9
6.3,76.6,78.6,64.5,7.1,Good,72.5
4.3,82.6,81.4,67.0,7.7,Poor,61.6
4.9,78.5,66.2,76.7,5.9,Poor,67.2
4.3,83.0,86.3,70.5,6.7,Good,74.2
9.2,88.0,56.4,49.3,5.2,Average,70.4
5.5,96.3,77.1,73.3,7.4,Good,73.7
3.4,70.9,62.3,76.5,7.7,Average,59.6
7.1,100.0,69.5,75.8,6.5,Good,74.1
3.1,64.4,78.6,83.1,8.7,Average,65.5
5.9,80.6,66.8,79.7,5.7,Good,68.3
1.6,87.3,73.0,74.4,5.4,Average,59.9
2.8,84.5,91.1,67.0,7.2,Average,60.6
5.9,76.4,70.5,44.7,8.2,Average,63.6
7.0,80.1,88.9,74.0,8.9,Good,82.4
5.8,77.6,63.3,70.9,6.5,Good,64.7
5.3,76.7,84.9,71.8,8.2,Good,79.7
4.9,89.6,96.7,50.1,7.0,Good,69.0
2.5,85.2,45.9,52.9,6.8,Good,53.8
4.1,75.8,67.6,82.7,8.0,Poor,69.8
4.6,90.1,85.5,67.4,7.7,Average,64.1
7.6,84.8,75.4,77.5,5.3,Good,67.2
6.2,89.3,82.8,68.4,8.6,Good,68.7
2.0,87.7,70.1,68.4,8.5,Good,67.0
6.1,74.5,79.1,81.1,6.3,Average,68.5
4.7,77.0,76.0,60.8,7.4,Good,77.9
4.1,88.7,93.2,69.3,7.5,Poor,68.2
6.7,87.5,81.3,61.5,7.3,Good,75.7
7.6,81.8,82.4,61.9,6.4,Poor,83.1
7.4,83.1,72.6,63.7,6.3,Average,83.4
3.8,93.5,71.7,71.1,7.0,Good,77.1
4.9,76.7,72.4,61.3,8.3,Poor,71.9
6.2,86.9,83.1,85.6,7.6,Good,82.5
7.5,80.2,72.5,55.5,6.6,Average,74.9
4.5,80.0,81.8,65.4,7.8,Good,71.4
5.1,91.9,100.0,61.8,4.0,Average,68.8
3.3,89.4,89.3,88.3,8.3,Average,67.6
3.1,89.3,73.8,70.8,5.1,Average,62.1
7.1,93.7,93.6,82.4,6.6,Average,81.6
8.2,82.2,72.7,47.2,5.8,Good,70.3
5.4,88.1,51.5,71.7,5.6,Good,68.4
7.5,79.2,64.9,80.5,8.3,Good,80.4
6.2,84.9,53.7,69.2,6.5,Good,67.9
4.2,80.8,73.4,82.9,7.4,Average,74.7
6.2,82.9,78.2,60.8,6.9,Good,65.3
8.6,87.4,99.8,87.7,7.5,Poor,87.3
5.4,74.6,82.3,100.0,7.1,Average,69.8
8.6,100.0,75.2,62.9,5.6,Average,71.5
1.0,72.9,88.8,61.8,8.1,Good,55.9
7.1,71.1,49.3,88.3,6.5,Average,68.1
5.7,92.4,81.1,90.1,5.3,Poor,82.8
4.9,89.1,88.0,60.7,6.5,Good,73.3
5.7,87.6,58.8,62.1,8.7,Average,63.7
1.5,87.7,92.9,64.1,7.9,Average,71.8
5.1,81.9,82.4,49.2,6.6,Good,72.3
6.2,73.9,72.6,55.1,6.6,Good,69.4
8.5,82.7,86.2,53.9,6.6,Good,77.0
4.5,75.9,100.0,57.3,9.3,Good,65.6
3.9,90.8,80.4,67.5,7.4,Good,66.1
4.5,80.7,81.2,71.3,7.5,Good,73.6
7.3,74.6,72.0,89.7,8.1,Good,85.9
6.2,79.1,67.0,54.0,7.3,Good,74.9
4.4,85.7,88.8,81.8,6.7,Poor,68.9
6.5,76.9,66.9,65.0,6.8,Good,63.1
5.7,74.6,78.9,67.3,6.9,Poor,69.2
7.4,84.2,71.8,77.4,7.0,Good,67.4
4.1,84.2,84.2,52.3,7.8,Good,67.5
4.8,77.4,82.3,73.4,7.1,Good,67.6
4.7,77.8,91.5,70.3,7.8,Good,67.9
2.6,84.1,71.4,74.9,6.9,Good,53.3
6.1,69.0,74.5,72.0,7.1,Average,70.9
6.0,69.3,65.3,100.0,4.8,Good,65.5
5.5,75.5,72.2,59.1,8.0,Average,60.8
5.0,80.1,82.9,60.6,7.4,Average,53.7
2.7,84.8,87.8,59.3,8.1,Good,63.7
4.7,95.3,66.0,60.2,4.0,Good,73.0
4.8,89.7,89.3,59.1,9.3,Average,81.2
3.9,80.6,95.6,84.6,6.8,Good,68.2
5.2,81.8,83.4,87.9,8.2,Good,71.1
6.3,73.0,100.0,60.0,5.9,Poor,74.4
9.3,81.8,67.9,56.3,7.7,Good,73.1
5.8,79.4,61.8,74.6,5.8,Average,68.1
6.0,84.9,54.9,60.3,6.3,Poor,69.4
5.4,74.6,97.4,76.9,9.1,Good,81.1
1.7,86.7,86.5,70.8,6.8,Good,61.0
5.4,95.8,77.3,46.8,7.2,Good,68.8
5.6,81.0,81.6,89.7,8.0,Good,70.4
10.0,85.6,63.4,93.1,7.5,Good,81.4
5.1,88.2,100.0,59.4,7.2,Average,72.3
6.1,78.4,79.7,62.6,7.4,Good,72.5
5.4,84.0,79.4,72.0,9.6,Good,78.0
3.2,82.1,87.4,72.7,6.9,Poor,61.4
7.8,82.9,84.3,77.2,7.2,Average,87.2
7.0,75.0,80.9,96.1,8.2,Average,77.2
7.1,82.2,67.7,65.5,8.2,Good,73.3
3.7,86.5,84.1,56.8,8.3,Average,62.6
8.3,95.1,100.0,48.7,7.7,Good,71.6
2.7,90.6,95.5,57.8,5.7,Good,68.6
6.7,100.0,98.7,67.5,8.8,Good,87.4
9.9,75.1,71.4,93.1,5.7,Average,81.0
3.5,89.9,65.1,60.8,7.3,Good,62.7
4.4,83.7,76.4,71.1,6.2,Good,68.8
5.7,100.0,78.7,67.8,6.9,Good,67.1
4.5,74.7,92.2,84.6,7.4,Good,68.1
2.4,74.4,56.0,100.0,7.4,Average,63.4
5.6,76.6,97.9,60.6,7.5,Average,65.8
3.4,62.9,75.9,61.1,8.8,Average,60.5
6.4,77.3,72.5,82.6,7.5,Good,66.1
3.7,75.2,64.8,77.5,6.7,Good,63.5
8.6,83.4,56.5,93.9,8.1,Good,80.0
3.9,85.1,88.7,76.2,8.3,Good,62.4
4.9,98.9,79.0,63.0,5.6,Good,76.1
7.1,90.6,61.2,76.3,7.7,Average,71.7
3.0,76.8,61.2,83.5,7.8,Good,56.7
6.0,73.9,73.6,79.5,6.7,Good,70.8
8.1,86.4,99.7,75.1,8.5,Good,91.3
